datum,ar,manad,ar_manad,sol_kwh,snittpris_ore,naive_kr,opt_kr,besparing_kr,naive_imp_kwh,opt_imp_kwh
2023-11-13,2023,11,2023-11,2.5008333333333335,94.36008333333332,36.338042025,10.0229852351004,26.3150567898996,36.549166666666665,35.36806875
2023-11-14,2023,11,2023-11,3.7733333333333334,84.46512499999999,36.84967921166667,13.561390868692044,23.288288342974624,35.913333333333334,37.885330137
2023-11-15,2023,11,2023-11,9.739999999999998,127.26704166666666,44.026353095,18.92740417806492,25.09894891693508,33.29416666666666,37.4503371
2023-11-16,2023,11,2023-11,0.9403333333333331,141.33066666666664,65.56462801833334,29.540332275527664,36.02429574280568,38.059666666666665,40.920500000000004
2023-11-17,2023,11,2023-11,5.5408333333333335,142.87379166666668,54.222901923333325,28.39338759310149,25.829514330231834,35.69416666666667,37.535000033
2023-11-18,2023,11,2023-11,25.63583333333333,110.81145833333333,19.197523553333333,0.8593749117298941,18.33814864160344,28.920833333333334,33.47
2023-11-19,2023,11,2023-11,1.5190909090909086,81.11541666666666,38.65162890909091,11.935640466466396,26.715988442624514,37.480909090909094,44.45459337
2023-11-20,2023,11,2023-11,2.625384615384615,128.85612500000002,56.08759039358974,24.123174116557205,31.964416277032537,36.46211538461539,43.54651751
2023-11-21,2023,11,2023-11,3.945151515151515,148.04749999999999,57.85905405780303,31.85191471225182,26.00713934555121,36.11568181818182,32.5
2023-11-22,2023,11,2023-11,1.5433333333333332,74.23225000000001,16.051595858333332,2.874006682877898,13.177589175455434,37.45666666666666,36.660000000000004
2023-11-23,2023,11,2023-11,3.5059523809523805,37.97325,15.713619725000001,5.1540086012583295,10.559611123741671,35.973214285714285,33.5
2023-11-24,2023,11,2023-11,9.112575757575756,35.366416666666666,17.7285242625,-5.237987655810299,22.966511918310296,30.347424242424243,40.6231818
2023-11-25,2023,11,2023-11,13.779166666666667,91.04154166666666,34.55230240833333,-7.3106548783277,41.86295728666103,32.81166666666667,37.54618418
2023-11-26,2023,11,2023-11,24.141666666666666,138.80200000000002,30.478618034999997,5.276591691813703,25.202026343186294,29.6275,29.43166667
2023-11-27,2023,11,2023-11,19.327777777777776,135.28324999999998,26.472687077777778,4.9513685891777826,21.521318488599995,30.720555555555556,34.86583333
2023-11-28,2023,11,2023-11,22.313333333333333,140.74629166666668,37.26725423833333,-12.923768793537,50.19102303187033,29.715833333333336,33.0
2023-11-29,2023,11,2023-11,7.5015,169.07225,78.90994374749998,15.291173953707208,63.61876979379277,34.46433333333333,39.028483370000004
2023-11-30,2023,11,2023-11,6.575595238095238,198.93283333333332,82.92577696166667,24.107705958043404,58.81807100362327,33.14440476190476,37.87000003
2023-12-01,2023,12,2023-12,1.1773484848484848,187.05754166666668,84.6146567060606,36.0090466237794,48.6056100822812,37.82265151515152,38.322500000000005
2023-12-02,2023,12,2023-12,15.331666666666667,136.80125,39.01700374416667,14.79502452336601,24.221979220800662,30.54083333333333,33.2825
2023-12-03,2023,12,2023-12,17.58083333333333,125.00587499999999,34.15802147000001,12.931844789112002,21.226176680888006,30.435833333333335,32.68
2023-12-04,2023,12,2023-12,2.019166666666666,178.8315,76.345798325,26.440113653925806,49.9056846710742,36.98083333333334,44.787499997
2023-12-05,2023,12,2023-12,4.088333333333333,187.3852916666667,65.920944065,20.40440664528652,45.51653741971348,35.94416666666667,35.34927516
2023-12-06,2023,12,2023-12,1.8871666666666667,154.93479166666665,67.32852391499999,33.34608998602209,33.9824339289779,37.127833333333335,34.77429583
2023-12-07,2023,12,2023-12,0.3124999999999999,137.77104166666666,56.84051649999999,34.33544007500001,22.505076424999984,38.6875,35.46
2023-12-08,2023,12,2023-12,0.6183333333333332,119.27345833333334,50.45312955833333,28.319473792110998,22.133655766222333,38.38166666666667,33.0
2023-12-09,2023,12,2023-12,1.0681410256410255,88.474875,35.80689734166667,20.280915325271998,15.525982016394671,37.931858974358974,34.98
2023-12-10,2023,12,2023-12,1.0875,76.12712499999999,34.17655570833333,13.977780962847199,20.198774745486133,37.912499999999994,35.747243770000004
2023-12-11,2023,12,2023-12,1.3309848484848483,102.78870833333333,46.884093991666674,19.836272304039795,27.04782168762688,37.669015151515154,45.14269936
2023-12-12,2023,12,2023-12,2.5533333333333332,143.16395833333334,63.21847890083333,26.85984498142648,36.358633919406856,36.9875,35.02749999
2023-12-13,2023,12,2023-12,6.9783333333333335,123.41254166666666,39.76974570083333,18.3701797820522,21.399565918781132,35.700833333333335,36.015
2023-12-14,2023,12,2023-12,1.4216666666666666,141.54104166666667,63.94187569166667,25.454890320379498,38.48698537128717,37.57833333333333,45.15988453
